 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
32,Organizaci?n Soriana,Comercio autoservicio,H,M?xico," 152†131,00 "," 4†349,00 "," 9†137,00 "," 143†058,00 "," 72†230,00 "," 86†565,00 "," 26,00 "," 61,00 ",-6
33,El Puerto de Liverpool,Comercio departamental,H,M?xico," 1†510†217,00 "," 128†682,00 "," 23†907,00 "," 2†219†707,00 "," 1†020†832,00 "," 72†719,00 "," 36,00 "," 107,00 ",3
34,Sam's Club,Comercio autoservicio,H,Estados Unidos," 1†509†588,00 ", nd , nd , nd , nd ," 30†000,00 "," 27,00 ", nd ,-7
35,Grupo Elektra,Holding,H,M?xico," 1†460†188,00 "," 129†438,00 "," 136†684,00 "," 423†694,00 "," 318†239,00 "," 67†848,00 "," 35,00 "," 123,00 ",0
36,Sigma Alimentos,Alimentos y bebidas,H,M?xico," 1†383†138,00 "," 11†426,00 "," 90†718,00 "," 1†106†147,00 "," 896†817,00 "," 47†000,00 "," 32,00 "," 55,00 ",-4
37,Honda de M?xico,Armadora,H,Jap?n," 137†700,00 ", nd , nd , nd , nd , nd ," 33,00 ", nd ,-4
38,Grupo Financiero Santander M?xico,Servicios financieros,H,Espa?a," 133†674,00 "," 18†097,00 "," 21†769,00 "," 1†641†111,00 "," 1†473†914,00 "," 24†486,00 "," 29,00 "," 108,00 ",-9
39,Industrias Pe?oles,Miner?a,H,M?xico," 1†211†403,00 "," 79†386,00 "," 199†187,00 "," 2†004†073,00 "," 975†996,00 "," 15†723,00 "," 39,00 "," 77,00 ",0
40,Grupo Carso,Holding,H,M?xico," 1†205†817,00 "," 11†282,00 "," 88†659,00 "," 1†857†733,00 "," 716†986,00 "," 79†375,00 "," 43,00 "," 99,00 ",3
41,Grupo Modelo AB-InBev,Bebidas alcoh?licas y tabaco,H,B?lgica," 103†550,00 ", nd , nd , nd , nd ," 40†617,00 "," 44,00 ", nd ,3
42,Grupo Televisa,Holding,H,M?xico," 1†035†218,00 "," 60†558,00 "," 221†773,00 "," 2†937†421,00 "," 197†218,00 "," 46†786,00 "," 41,00 "," 63,00 ",-1
43,KIA Motors M?xico,Armadora,H,Corea," 95†000,00 ", nd , nd , nd , nd , nd ," 45,00 ", nd ,2
44,Gruma,Alimentos y bebidas,H,M?xico," 942†504,00 "," 6†156,00 "," 112†831,00 "," 78†776,00 "," 49†213,00 "," 22†492,00 "," 42,00 "," 208,00 ",-2
45,Heineken M?xico,Bebidas alcoh?licas y tabaco,H,Pa?ses Bajos," 90†000,00 ", nd , nd , nd , nd ," 18†000,00 "," 49,00 ", nd ,4
46,Jabil Circuit de M?xico,Electr?nica,H,Estados Unidos," 880†394,00 ", nd , nd ," 72†487,00 ", nd ," 28†300,00 "," 40,00 ", nd ,-6
47,PepsiCo Alimentos M?xico,Alimentos y bebidas,H,Estados Unidos," 87†462,00 "," 21†299,00 ", nd ," 355†275,00 ", nd ," 49†029,00 "," 48,00 ", nd ,1
48,Samsung M?xico,Electr?nica de consumo,H,Corea," 87†000,00 ", nd , nd , nd , nd , nd ," 54,00 ", nd ,6
